,Type,Rating,Effects,thc_max,cbd_max,high_thc,balanced,high_cbd,Focused,Giggly,Creative,Uplifted,Talkative,Happy,Energetic,Euphoric,Tingly,None,Relaxed,Hungry,Sleepy,Aroused,sativa,indica,hybrid
851,hybrid,4.6,"['Happy', 'Relaxed', 'Uplifted', 'Creative', 'Energetic']",23.909171083333312,0.26131856666666675,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
261,hybrid,4.1,"['Relaxed', 'Happy', 'Euphoric', 'Uplifted', 'Hungry']",27.733488646748675,0.3009684710017571,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
1070,hybrid,4.7,"['Uplifted', 'Happy', 'Relaxed', 'Creative', 'Talkative']",37.23413444444444,5.3708544444444435,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
694,hybrid,4.5,"['Happy', 'Uplifted', 'Giggly', 'Energetic', 'Euphoric']",27.206807586206892,0.06106579310344823,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
204,hybrid,4.0,"['Happy', 'Relaxed', 'Hungry', 'Sleepy', 'Giggly']",23.13856149999999,0.37545516666666684,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
157,hybrid,4.3,"['Happy', 'Uplifted', 'Relaxed', 'Euphoric', 'Energetic']",26.363285514223186,0.30306240481400454,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
1008,hybrid,4.4,"['Relaxed', 'Happy', 'Sleepy', 'Euphoric', 'Tingly']",29.485107283950615,0.5833535185185181,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
1299,hybrid,4.8,"['Happy', 'Relaxed', 'Euphoric', 'Uplifted', 'Focused']",17.367851666666667,0.10256666666666665,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
1229,hybrid,4.2,"['Happy', 'Relaxed', 'Uplifted', 'Euphoric', 'Energetic']",24.805211296296292,0.2655168518518519,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
21,hybrid,3.4,"['Tingly', 'Euphoric', 'Happy', 'Relaxed', 'Uplifted']",28.759283000000003,1.0476429999999999,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
287,hybrid,4.2,"['Happy', 'Relaxed', 'Euphoric', 'Giggly', 'Sleepy']",26.043076909090907,0.2125269090909091,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
1083,hybrid,4.4,"['Euphoric', 'Uplifted', 'Relaxed', 'Happy', 'Focused']",24.669658549180323,0.24480579781420847,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
579,hybrid,4.3,"['Relaxed', 'Sleepy', 'Euphoric', 'Happy', 'Uplifted']",29.23965702702702,0.4975675675675676,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
76,hybrid,4.5,"['Happy', 'Uplifted', 'Euphoric', 'Focused', 'Relaxed']",36.92066666666667,0.7833333333333333,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
631,hybrid,4.3,"['Relaxed', 'Happy', 'Energetic', 'Hungry', 'Sleepy']",7.677471333333334,0.24333333333333332,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1
669,hybrid,4.9,"['Relaxed', 'Euphoric', 'Energetic', 'Happy', 'Uplifted']",25.72,0.48,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
159,hybrid,4.7,"['Relaxed', 'Sleepy', 'Talkative', 'Happy', 'Uplifted']",20.04871,0.12772714285714287,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
906,hybrid,4.2,"['Happy', 'Uplifted', 'Focused', 'Energetic', 'Relaxed']",25.739413673469407,0.205579642857143,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
228,hybrid,4.5,"['Relaxed', 'Happy', 'Euphoric', 'Creative', 'Uplifted']",20.870382,0.0547218,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
116,hybrid,4.4,"['Relaxed', 'Happy', 'Euphoric', 'Uplifted', 'Talkative']",27.261510530303045,0.17480493939393943,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
555,hybrid,4.3,"['Relaxed', 'Focused', 'Happy', 'Uplifted', 'Euphoric']",14.832,0.2877,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
576,hybrid,4.0,"['Hungry', 'Relaxed', 'Tingly', 'Sleepy', 'Euphoric']",62.4975,3.83,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1
874,hybrid,4.5,"['Relaxed', 'Aroused', 'Creative', 'Giggly', 'Happy']",26.959687015384613,0.19509015384615386,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
134,hybrid,4.2,"['Relaxed', 'Happy', 'Hungry', 'Uplifted', 'Euphoric']",25.147515757575754,0.15754939393939396,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
1111,hybrid,4.4,"['Happy', 'Relaxed', 'Uplifted', 'Tingly', 'Euphoric']",19.6309,0.0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
743,hybrid,4.1,"['Relaxed', 'Happy', 'Euphoric', 'Creative', 'Uplifted']",21.954544920634923,0.27368192063492053,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
222,hybrid,4.3,"['Happy', 'Relaxed', 'Talkative', 'Giggly', 'Uplifted']",24.28407766233767,0.322197922077922,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
595,hybrid,4.5,"['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Energetic']",30.003971322314033,0.21520858677685956,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
